"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"EPOR",66.7929128646981,-2.9148830494609,0.713721958357292,-4.08405964721867,4.42556630406827e-05,0.000560618592991215,"EPOR"
"EPPK1",50.8268140561156,-5.32047546834348,0.971982034606007,-5.47384136631716,4.40383317597938e-08,1.60233630831848e-06,"EPPK1"
"EPRS1",1938.21667281728,0.936707140385371,0.352332982700063,2.65858487958472,0.00784695818425125,0.0343491765610945,"EPRS1"
"EPS8L1",31.4411896369112,-3.06238035634553,1.12800764726702,-2.71485779707715,0.0066304234153239,0.0300668666086294,"EPS8L1"
"EPS8L2",407.471573034011,-4.11892834574976,0.585022394541656,-7.04063363074639,1.91367577597643e-12,2.0990993977128e-10,"EPS8L2"
"EPSTI1",677.069606523061,1.8825809797375,0.483189854706745,3.89615171220858,9.77331822987914e-05,0.00106954002297234,"EPSTI1"
"ERAP1",1608.72545177909,1.69021741317067,0.423761758526025,3.98860298071674,6.64635493766627e-05,0.000782300301665453,"ERAP1"
"ERBB2",626.340645774996,-1.66399010050354,0.351490143999606,-4.73410173488507,2.20027350161818e-06,4.53684109087538e-05,"ERBB2"
"ERBIN",3527.95593464558,0.714494185729049,0.273519542021108,2.61222353784839,0.00899554148023452,0.0381621492711481,"ERBIN"
"ERCC1",839.648013098332,-1.50247270865137,0.270397072658365,-5.55654206563723,2.75171428586862e-08,1.06536759506669e-06,"ERCC1"
"ERCC4",673.566435228235,1.07266624700115,0.389358112358689,2.75496056959762,0.00586992090916823,0.0271870738694321,"ERCC4"
"ERCC6L2",2116.4800150421,1.06637451818702,0.355088357372771,3.00312442254349,0.00267223156058137,0.0148665248567053,"ERCC6L2"
"ERF",367.578971591502,-2.50692334439572,0.394994650030064,-6.34672733973715,2.19943435706744e-10,1.56623291591313e-08,"ERF"
"ERGIC2",956.663674625555,0.710739578824587,0.270714276421359,2.62542333644178,0.0086541294905205,0.0370050799724401,"ERGIC2"
"ERI1",360.969145418724,1.15360822714308,0.305089916903298,3.78120732029547,0.000156069632345293,0.00155827361008152,"ERI1"
"ERI2",186.246415743882,1.30873291523376,0.461414583004015,2.83634926905285,0.0045632512465677,0.0224658436062502,"ERI2"
"ERICH3",167.769272950546,-4.54152470152805,1.24438166775912,-3.64962359957167,0.000262624851395501,0.00237232311373702,"ERICH3"
"ERLEC1",1453.5005128742,1.0967560101035,0.316363601794778,3.46675788201119,0.000526776154038858,0.00414171519533942,"ERLEC1"
"ERMN",79.5466192344805,2.61816400769841,0.634699249585174,4.12504664123928,3.70659634024288e-05,0.000481785035385286,"ERMN"
"ERO1A",882.124076053938,1.12096738102899,0.308044740034846,3.63897588675653,0.000273724425517512,0.00245454275406364,"ERO1A"
"ERO1B",1140.24171514041,1.43183947651635,0.360098858822185,3.97623997254427,7.00134760609542e-05,0.000816851199051706,"ERO1B"
"ERP44",1402.26910220576,1.06940496121147,0.339775709102077,3.14738497356854,0.00164737908441661,0.010141121199192,"ERP44"
"ERVV-2",52.1637764011203,-1.38761146366194,0.438104901303074,-3.16730413089356,0.0015385931734986,0.00967760545311943,"ERVV-2"
