"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DBF4P2",0.60281929757627,1.09076294157249,3.41878514127793,0.319049866106757,0.749688699449881,NA
"DBF4P3",8.28708741814707,-2.60864757990497,2.69100301098242,-0.969396009316475,NA,NA
"DCAF12L2",8.3810707371463,-0.368903079629632,1.4535778422735,-0.253789696637533,NA,NA
"DCDC2",23.3004931271435,-1.94184661667802,1.12635192930169,-1.72401410799014,NA,NA
"DCLRE1CP1",0.955457268108851,2.83101669429947,3.40739497176897,0.83084488817853,0.406061260713679,NA
"DDX11L5",0.879215899293782,1.123208110053,3.4155253464449,0.328853689000466,0.742266279917418,NA
"DDX39A",246.813013962998,-0.993939109691941,0.682965647514786,-1.45532811688076,NA,NA
"DDX39BP2",1.26928234086206,-0.421378583826257,3.369876168731,-0.125042750156881,0.90048970618378,NA
"DDX50P2",0.651654189157438,0.843375341378025,3.41601632348297,0.246888557171214,0.804994472311366,NA
"DDX6P2",0.666545371344071,2.32313371101172,3.42115071523796,0.679050385200622,0.49710593761514,NA
"DEFA4",0.572140011818021,2.10701066626219,3.42849124574818,0.614559150143719,0.538845898795756,NA
"DEFB108C",0.662307632436059,-3.54058535781133,3.47130206435088,-1.01995887772832,0.307747963963598,NA
"DEFB109B",1.28332285857676,0.164273068151653,3.01795817293282,0.0544318571493037,0.956591098134025,NA
"DEFB109C",0.944800114446793,-0.552890308008974,3.39631307178004,-0.162791325865374,0.870682738120112,NA
"DEFB130C",1.45894780150504,3.41634531711967,3.39624828567234,1.00591742115325,0.314455295262236,NA
"DEFB131A",1.91739019504912,1.34294525732737,2.2123711401906,0.607016260938783,0.543840120788684,NA
"DEFB131B",0.73295273284386,-1.07248732492471,3.41859696862594,-0.313721487138561,0.753732579716161,NA
"DEFB134",0.762578547086131,0.789584755765007,3.34952519028256,0.23573035308279,0.813641915180538,NA
"DGAT2",310.814160411328,1.17760961753659,0.809292189071211,1.45511056876514,NA,NA
"DGKK",1.17671011901944,3.11198641104485,2.81536638407452,1.1053575224341,0.269004701990089,NA
"DGKZP1",2.10617214384316,2.26198262770476,3.37121421745943,0.670969710554142,0.502239825522568,NA
